Organization Name,Category,Description,GSoC Page,Interested,Notes
The ns-3 Network Simulator Project,,ns-3 is a simulation tool for computer networks.,https://summerofcode.withgoogle.com/programs/2025/organizations/the-ns-3-network-simulator-project,No,
The P4 Language Consortium,,Evolve the programmable data plane ecosystem!,https://summerofcode.withgoogle.com/programs/2025/organizations/the-p4-language-consortium,No,
The Mifos Initiative,,End Poverty One Line of Code at a Time,https://summerofcode.withgoogle.com/programs/2025/organizations/the-mifos-initiative,No,
The Julia Language,,A fresh approach to technical computing,https://summerofcode.withgoogle.com/programs/2025/organizations/the-julia-language,No,
The FreeBSD Project,,An OS for servers to embedded devices,https://summerofcode.withgoogle.com/programs/2025/organizations/the-freebsd-project,No,
The Linux Foundation,,Non-profit consortium fostering growth of Linux,https://summerofcode.withgoogle.com/programs/2025/organizations/the-linux-foundation,No,
The JPF team,,JPF is a Java VM used to verify and debug software,https://summerofcode.withgoogle.com/programs/2025/organizations/the-jpf-team-hg,No,
TARDIS RT Collaboration,,Exploring supernovae made easy,https://summerofcode.withgoogle.com/programs/2025/organizations/tardis-rt-collaboration,No,
Unikraft,,A Fast and Secure Unikernel SDK,https://summerofcode.withgoogle.com/programs/2025/organizations/unikraft,No,
Typelevel,,We do functional programming together,https://summerofcode.withgoogle.com/programs/2025/organizations/typelevel,No,
Wagtail,,The powerful Python CMS for modern websites,https://summerofcode.withgoogle.com/programs/2025/organizations/wagtail,No,
The Tor Project,,Defend yourself against tracking and surveillance.,https://summerofcode.withgoogle.com/programs/2025/organizations/the-tor-project,No,
"Unicode, Inc.",,Bringing internationalization to software!,https://summerofcode.withgoogle.com/programs/2025/organizations/unicode-inc,No,
Uramaki LAB,,The User Experience LAB based on IA,https://summerofcode.withgoogle.com/programs/2025/organizations/uramaki-lab,No,
VideoLAN,,Open Source Multimedia for everyone!,https://summerofcode.withgoogle.com/programs/2025/organizations/videolan,No,
The Palisadoes Foundation,,Social media and member management for non-profits,https://summerofcode.withgoogle.com/programs/2025/organizations/the-palisadoes-foundation,No,
UC OSPO,,Amplifying Research Impact through Open Source,https://summerofcode.withgoogle.com/programs/2025/organizations/uc-ospo,No,
The Rust Foundation,,A language empowering everyone,https://summerofcode.withgoogle.com/programs/2025/organizations/the-rust-foundation,No,
Wellcome Sanger Tree of Life,,Genome analysis for all species,https://summerofcode.withgoogle.com/programs/2025/organizations/wellcome-sanger-institute,No,
Zulip,,Organized chat for distributed teams,https://summerofcode.withgoogle.com/programs/2025/organizations/zulip,No,
Zendalona,,FOSS accessibility solutions for visually impaired,https://summerofcode.withgoogle.com/programs/2025/organizations/zendalona,No,
Waycrate,,Writing robust tools for the Wayland protocol,https://summerofcode.withgoogle.com/programs/2025/organizations/waycrate,No,
webpack,,webpack is the module bundler for web projects,https://summerofcode.withgoogle.com/programs/2025/organizations/webpack,No,
